Instrument,Revenue
PH,6887596000
PH,6887596000
PH,6887596000
PH,8068805000
PH,8068805000
PH,8068805000
PH,8068805000
PH,9385888000
PH,9385888000
PH,9385888000
PH,9385888000
PH,10718059000
PH,10718059000
PH,10718059000
PH,10718059000
PH,12145605000
PH,12145605000
PH,12145605000
PH,12145605000
PH,10309015000
PH,10309015000
PH,10309015000
PH,10309015000
PH,9993166000
PH,9993166000
PH,9993166000
PH,9993166000
PH,12345870000
PH,12345870000
PH,12345870000
PH,12345870000
PH,13145942000
PH,13145942000
PH,13145942000
PH,13145942000
PH,13015704000
PH,13015704000
PH,13015704000
PH,13015704000
PH,13215971000
PH,13215971000
PH,13215971000
PH,13215971000
PH,12711744000
PH,12711744000
PH,12711744000
PH,12711744000
PH,11360753000
PH,11360753000
PH,11360753000
PH,11360753000
PH,12029312000
PH,12029312000
PH,12029312000
PH,12029312000
PH,14302392000
PH,14302392000
PH,14302392000
PH,14302392000
PH,14320324000
PH,14320324000
PH,14320324000
PH,14320324000
PH,13695520000
PH,13695520000
PH,13695520000
PH,13695520000
PH,14347640000
PH,14347640000
PH,14347640000
PH,14347640000
PH,15861608000
PH,15861608000
PH,15861608000
PH,15861608000
PH,19065194000
PH,19065194000
PH,19065194000
PH,19065194000
PH,19929606000
