Instrument,Revenue
EMR,15615000000
EMR,15615000000
EMR,15615000000
EMR,15615000000
EMR,17305000000
EMR,17305000000
EMR,17305000000
EMR,17305000000
EMR,19734000000
EMR,19734000000
EMR,19734000000
EMR,19734000000
EMR,22131000000
EMR,22131000000
EMR,22131000000
EMR,22131000000
EMR,23751000000
EMR,23751000000
EMR,23751000000
EMR,23751000000
EMR,20102000000
EMR,20102000000
EMR,20102000000
EMR,20102000000
EMR,21039000000
EMR,21039000000
EMR,21039000000
EMR,21039000000
EMR,24222000000
EMR,24222000000
EMR,24222000000
EMR,24222000000
EMR,24412000000
EMR,24412000000
EMR,24412000000
EMR,24412000000
EMR,24669000000
EMR,24669000000
EMR,24669000000
EMR,24669000000
EMR,17733000000
EMR,17733000000
EMR,17733000000
EMR,17733000000
EMR,16249000000
EMR,16249000000
EMR,16249000000
EMR,16249000000
EMR,14522000000
EMR,14522000000
EMR,14522000000
EMR,14522000000
EMR,15264000000
EMR,15264000000
EMR,15264000000
EMR,15264000000
EMR,17408000000
EMR,17408000000
EMR,17408000000
EMR,17408000000
EMR,18372000000
EMR,18372000000
EMR,18372000000
EMR,18372000000
EMR,16785000000
EMR,16785000000
EMR,16785000000
EMR,16785000000
EMR,18236000000
EMR,18236000000
EMR,18236000000
EMR,18236000000
EMR,19629000000
EMR,19629000000
EMR,19629000000
EMR,19629000000
EMR,15165000000
EMR,15165000000
EMR,15165000000
EMR,15165000000
