Instrument,Revenue
VOLVb.ST,25478669428.2656
VOLVb.ST,31730254652.5961
VOLVb.ST,31730254652.5961
VOLVb.ST,31730254652.5961
VOLVb.ST,31730254652.5961
VOLVb.ST,30291762157.8059
VOLVb.ST,30291762157.8059
VOLVb.ST,30291762157.8059
VOLVb.ST,30291762157.8059
VOLVb.ST,37812075438.6221
VOLVb.ST,37812075438.6221
VOLVb.ST,37812075438.6221
VOLVb.ST,37812075438.6221
VOLVb.ST,44165299743.1215
VOLVb.ST,44165299743.1215
VOLVb.ST,44165299743.1215
VOLVb.ST,44165299743.1215
VOLVb.ST,39004161065.2327
VOLVb.ST,39004161065.2327
VOLVb.ST,39004161065.2327
VOLVb.ST,39004161065.2327
VOLVb.ST,30496494511.3265
VOLVb.ST,30496494511.3265
VOLVb.ST,30496494511.3265
VOLVb.ST,30496494511.3265
VOLVb.ST,39457062803.6603
VOLVb.ST,39457062803.6603
VOLVb.ST,39457062803.6603
VOLVb.ST,39457062803.6603
VOLVb.ST,45060396643.3404
VOLVb.ST,45060396643.3404
VOLVb.ST,45060396643.3404
VOLVb.ST,45060396643.3404
VOLVb.ST,46135167574.5545
VOLVb.ST,46135167574.5545
VOLVb.ST,46135167574.5545
VOLVb.ST,46135167574.5545
VOLVb.ST,42354311992.1699
VOLVb.ST,42354311992.1699
VOLVb.ST,42354311992.1699
VOLVb.ST,42354311992.1699
VOLVb.ST,36296324802.7708
VOLVb.ST,36296324802.7708
VOLVb.ST,36296324802.7708
VOLVb.ST,36296324802.7708
VOLVb.ST,36999348842.7159
VOLVb.ST,36999348842.7159
VOLVb.ST,36999348842.7159
VOLVb.ST,36999348842.7159
VOLVb.ST,33149313218.4855
VOLVb.ST,33149313218.4855
VOLVb.ST,33149313218.4855
VOLVb.ST,33149313218.4855
VOLVb.ST,40569394149.9933
VOLVb.ST,40569394149.9933
VOLVb.ST,40569394149.9933
VOLVb.ST,40569394149.9933
VOLVb.ST,44150061000.4067
VOLVb.ST,44150061000.4067
VOLVb.ST,44150061000.4067
VOLVb.ST,44150061000.4067
VOLVb.ST,46141850032.0444
VOLVb.ST,46141850032.0444
VOLVb.ST,46141850032.0444
VOLVb.ST,46141850032.0444
VOLVb.ST,41199542289.5262
VOLVb.ST,41199542289.5262
VOLVb.ST,41199542289.5262
VOLVb.ST,41199542289.5262
VOLVb.ST,41177980352.2436
VOLVb.ST,41177980352.2436
VOLVb.ST,41177980352.2436
VOLVb.ST,41177980352.2436
VOLVb.ST,45492707392.5325
VOLVb.ST,45492707392.5325
VOLVb.ST,45492707392.5325
VOLVb.ST,45492707392.5325
VOLVb.ST,54908512963.1469
VOLVb.ST,54908512963.1469
VOLVb.ST,54908512963.1469
