Instrument,Revenue
SAND.ST,6784914997.42838
SAND.ST,8209314211.83969
SAND.ST,8209314211.83969
SAND.ST,8209314211.83969
SAND.ST,8209314211.83969
SAND.ST,7979701312.11122
SAND.ST,7979701312.11122
SAND.ST,7979701312.11122
SAND.ST,7979701312.11122
SAND.ST,10560384497.3924
SAND.ST,10560384497.3924
SAND.ST,10560384497.3924
SAND.ST,10560384497.3924
SAND.ST,13360465476.1536
SAND.ST,13360465476.1536
SAND.ST,13360465476.1536
SAND.ST,13360465476.1536
SAND.ST,11862748863.7091
SAND.ST,11862748863.7091
SAND.ST,11862748863.7091
SAND.ST,11862748863.7091
SAND.ST,10046786402.6145
SAND.ST,10046786402.6145
SAND.ST,10046786402.6145
SAND.ST,10046786402.6145
SAND.ST,12318399952.3086
SAND.ST,12318399952.3086
SAND.ST,12318399952.3086
SAND.ST,12318399952.3086
SAND.ST,13659513923.1685
SAND.ST,13659513923.1685
SAND.ST,13659513923.1685
SAND.ST,13659513923.1685
SAND.ST,13659513923.1685
SAND.ST,15161573261.9333
SAND.ST,15161573261.9333
SAND.ST,15161573261.9333
SAND.ST,13567200584.1503
SAND.ST,13567200584.1503
SAND.ST,13567200584.1503
SAND.ST,13567200584.1503
SAND.ST,10587261881.8549
SAND.ST,10587261881.8549
SAND.ST,10587261881.8549
SAND.ST,10587261881.8549
SAND.ST,10163381282.1879
SAND.ST,10163381282.1879
SAND.ST,10163381282.1879
SAND.ST,10163381282.1879
SAND.ST,8954291423.74035
SAND.ST,8954291423.74035
SAND.ST,8954291423.74035
SAND.ST,8954291423.74035
SAND.ST,11074167550.6297
SAND.ST,11074167550.6297
SAND.ST,11074167550.6297
SAND.ST,11074167550.6297
SAND.ST,11304504992.9963
SAND.ST,11304504992.9963
SAND.ST,11304504992.9963
SAND.ST,11304504992.9963
SAND.ST,11027344584.4905
SAND.ST,11027344584.4905
SAND.ST,11027344584.4905
SAND.ST,11027344584.4905
SAND.ST,10518089302.235
SAND.ST,10518089302.235
SAND.ST,10518089302.235
SAND.ST,10518089302.235
SAND.ST,9480927515.70936
SAND.ST,9480927515.70936
SAND.ST,9480927515.70936
SAND.ST,9480927515.70936
SAND.ST,10793059051.865
SAND.ST,10793059051.865
SAND.ST,10793059051.865
SAND.ST,10793059051.865
SAND.ST,12566107082.5469
SAND.ST,12566107082.5469
SAND.ST,12566107082.5469
