Instrument,Revenue
KOMT.F,11475330903.5105
KOMT.F,11475330903.5105
KOMT.F,13397964329.069
KOMT.F,13397964329.069
KOMT.F,13397964329.069
KOMT.F,13397964329.069
KOMT.F,13701682814.8904
KOMT.F,13701682814.8904
KOMT.F,13701682814.8904
KOMT.F,13701682814.8904
KOMT.F,16075250466.9723
KOMT.F,16075250466.9723
KOMT.F,16075250466.9723
KOMT.F,16075250466.9723
KOMT.F,22472928564.2721
KOMT.F,22472928564.2721
KOMT.F,22472928564.2721
KOMT.F,22472928564.2721
KOMT.F,20454704573.0473
KOMT.F,20454704573.0473
KOMT.F,20454704573.0473
KOMT.F,20454704573.0473
KOMT.F,15317397817.248
KOMT.F,15317397817.248
KOMT.F,15317397817.248
KOMT.F,15317397817.248
KOMT.F,22166289837.6428
KOMT.F,22166289837.6428
KOMT.F,22166289837.6428
KOMT.F,22166289837.6428
KOMT.F,23937226718.2027
KOMT.F,23937226718.2027
KOMT.F,23937226718.2027
KOMT.F,23937226718.2027
KOMT.F,20012644654.4219
KOMT.F,20012644654.4219
KOMT.F,20012644654.4219
KOMT.F,20012644654.4219
KOMT.F,18932619439.8682
KOMT.F,18932619439.8682
KOMT.F,18932619439.8682
KOMT.F,18932619439.8682
KOMT.F,16472494172.4942
KOMT.F,16472494172.4942
KOMT.F,16472494172.4942
KOMT.F,16472494172.4942
KOMT.F,16479779673.0633
KOMT.F,16479779673.0633
KOMT.F,16479779673.0633
KOMT.F,16479779673.0633
KOMT.F,16187726701.3827
KOMT.F,16187726701.3827
KOMT.F,16187726701.3827
KOMT.F,16187726701.3827
KOMT.F,23537615283.2675
KOMT.F,23537615283.2675
KOMT.F,23537615283.2675
KOMT.F,23537615283.2675
KOMT.F,24587179718.5132
KOMT.F,24587179718.5132
KOMT.F,24587179718.5132
KOMT.F,24587179718.5132
KOMT.F,22736631637.6825
KOMT.F,22736631637.6825
KOMT.F,22736631637.6825
KOMT.F,22736631637.6825
KOMT.F,19778789521.2285
KOMT.F,19778789521.2285
KOMT.F,19778789521.2285
KOMT.F,19778789521.2285
KOMT.F,23034053920.7628
KOMT.F,23034053920.7628
KOMT.F,23034053920.7628
KOMT.F,23034053920.7628
KOMT.F,26684803072.5205
KOMT.F,26684803072.5205
KOMT.F,26684803072.5205
KOMT.F,26684803072.5205
KOMT.F,25544392307.1839
KOMT.F,25544392307.1839
