Instrument,Company Market Cap
EMR,29411449368.4999
EMR,27056224125.22
EMR,25871986594.39
EMR,29660045305.3999
EMR,30687903955.8
EMR,34406139604.17
EMR,34169047520.26
EMR,34189432347.56
EMR,35376439510.2
EMR,34381196744.63
EMR,37218307838.4
EMR,42151499131.9799
EMR,44604375648.96
EMR,40443763435.58
EMR,38608975819.8
EMR,31650714562.1
EMR,27979581444.64
EMR,21578966205.48
EMR,24346694232.0
EMR,30123716178.0
EMR,32054170930.2
EMR,37878097761.18
EMR,32905987600.82
EMR,39621846354.7999
EMR,43112669938.4
EMR,44062852973.6
EMR,42281519793.75
EMR,30763754172.63
EMR,34256490436.95
EMR,38322880602.92
EMR,34171337435.8999
EMR,35107916881.53
EMR,38320694057.6
EMR,40342197447.0099
EMR,39206767840.2
EMR,46230184426.8
EMR,49485024106.98
EMR,46959452375.2
EMR,46567737281.52
EMR,43675536282.42
EMR,42732444471.46
EMR,38796131011.7999
EMR,37044149808.38
EMR,29025884356.63
EMR,31154845011.19
EMR,34972636768.96
EMR,33557190298.5599
EMR,35079225472.83
EMR,35928089897.25
EMR,38613571445.5
EMR,38423905469.84
EMR,40218832669.44
EMR,44728424510.22
EMR,43359406782.2999
EMR,43564430343.68
EMR,48127891895.58
EMR,37412976230.5
EMR,42083021745.7299
EMR,41034573617.76
EMR,41125683749.32
EMR,46454071457.1
EMR,28469698045.0
EMR,37061392859.0
EMR,39184102259.9699
EMR,48064431962.79
EMR,54104934000.0
EMR,57532272000.0
EMR,56312760000.0
EMR,55224180000.0
EMR,58241700000.0
EMR,47246760000.0
EMR,43302308000.0
EMR,56809884000.0
EMR,49800510000.0
EMR,51657885000.0
EMR,55189754999.9999
EMR,55626398606.44
EMR,64842214000.0
EMR,63022536000.0
EMR,62636199000.0
