Instrument,Company Market Cap
SAND.ST,10690908466.3468
SAND.ST,10967028705.8423
SAND.ST,9808502868.01347
SAND.ST,11813838955.3732
SAND.ST,11054127855.29
SAND.ST,13706338650.9868
SAND.ST,13483082827.4851
SAND.ST,13279140827.8086
SAND.ST,16844712928.5787
SAND.ST,20609038918.6146
SAND.ST,24165946203.5055
SAND.ST,25502923733.2446
SAND.ST,20422526108.5621
SAND.ST,20612940007.531
SAND.ST,16286476059.6252
SAND.ST,12369326970.9783
SAND.ST,7480127599.40805
SAND.ST,6776728434.50576
SAND.ST,8811882495.42635
SAND.ST,13126605899.8088
SAND.ST,14315373602.6146
SAND.ST,14874531800.9572
SAND.ST,14667189552.7236
SAND.ST,18196912103.3366
SAND.ST,23053653020.6341
SAND.ST,22354445602.6612
SAND.ST,20810738837.2589
SAND.ST,13827802482.8068
SAND.ST,14544840432.1771
SAND.ST,18148659331.0557
SAND.ST,16016561594.5096
SAND.ST,17036640011.4945
SAND.ST,19935040234.3917
SAND.ST,19285808243.5094
SAND.ST,15008466511.2039
SAND.ST,17332835907.9436
SAND.ST,17714998009.4824
SAND.ST,17722954092.3817
SAND.ST,17138881621.3073
SAND.ST,14157736877.2202
SAND.ST,12376037568.7277
SAND.ST,14021129505.0702
SAND.ST,13881412458.85
SAND.ST,10673711110.5587
SAND.ST,11044991925.9622
SAND.ST,12982161738.209
SAND.ST,12421791949.1149
SAND.ST,13807215818.9215
SAND.ST,15521953239.7971
SAND.ST,18729067249.0744
SAND.ST,19722112964.5561
SAND.ST,21634777219.0101
SAND.ST,21977792059.5852
SAND.ST,22877821453.0016
SAND.ST,22293339491.0858
SAND.ST,22265660652.7646
SAND.ST,17681302725.5237
SAND.ST,20378963297.9719
SAND.ST,23056428213.5215
SAND.ST,19547199545.9769
SAND.ST,24510943025.4348
SAND.ST,17937032964.5424
SAND.ST,23435269476.1449
SAND.ST,24641124347.3264
SAND.ST,30807169769.6427
SAND.ST,34290745082.3537
SAND.ST,32062950207.8763
SAND.ST,28815715899.7088
SAND.ST,35136548880.5376
SAND.ST,26846783849.5448
SAND.ST,20358346331.7529
SAND.ST,17292298260.7672
SAND.ST,22706653461.1733
SAND.ST,26572028592.1878
SAND.ST,24463900632.2694
SAND.ST,23158530186.4336
SAND.ST,27176077262.9681
SAND.ST,27880977146.4331
SAND.ST,25156888058.0503
SAND.ST,28026485015.7256
