Instrument,Company Market Cap
VOLVb.ST,17398662612.5683
VOLVb.ST,19321773754.5289
VOLVb.ST,17167641041.2369
VOLVb.ST,18373211240.8938
VOLVb.ST,19903728715.088
VOLVb.ST,19777569476.0565
VOLVb.ST,20801176486.9144
VOLVb.ST,25670143901.2113
VOLVb.ST,29607916595.7664
VOLVb.ST,36148570501.936
VOLVb.ST,43131573212.7678
VOLVb.ST,37125360653.0291
VOLVb.ST,35683636076.7231
VOLVb.ST,32066343103.4482
VOLVb.ST,25900234939.343
VOLVb.ST,18588431532.3958
VOLVb.ST,11819754052.5028
VOLVb.ST,11289232720.0727
VOLVb.ST,13136423384.4976
VOLVb.ST,19533519325.4487
VOLVb.ST,18224880832.6349
VOLVb.ST,21374951318.963
VOLVb.ST,23562172186.1411
VOLVb.ST,30801602820.5604
VOLVb.ST,37035648799.3062
VOLVb.ST,37337405466.1962
VOLVb.ST,37182361079.3299
VOLVb.ST,21214075648.0941
VOLVb.ST,23331297995.0492
VOLVb.ST,31069460165.1188
VOLVb.ST,24271587580.4983
VOLVb.ST,29879111781.1471
VOLVb.ST,29071590787.2431
VOLVb.ST,30943935408.6111
VOLVb.ST,28458567161.6589
VOLVb.ST,31873386920.5632
VOLVb.ST,27991257555.8436
VOLVb.ST,33923413263.6807
VOLVb.ST,29358241151.8661
VOLVb.ST,23255166061.7573
VOLVb.ST,23327182861.2015
VOLVb.ST,25750773531.9859
VOLVb.ST,26438812317.6203
VOLVb.ST,20362756279.0558
VOLVb.ST,20130225214.0929
VOLVb.ST,23383998594.2043
VOLVb.ST,20882353713.833
VOLVb.ST,24309336483.778
VOLVb.ST,24908545295.1678
VOLVb.ST,31393927643.8782
VOLVb.ST,36285003628.5331
VOLVb.ST,40990679991.8981
VOLVb.ST,39650546901.9837
VOLVb.ST,38782118503.1344
VOLVb.ST,34057325169.1499
VOLVb.ST,37624315483.1668
VOLVb.ST,27545220884.6973
VOLVb.ST,32970541836.258
VOLVb.ST,33777232177.9615
VOLVb.ST,29899015089.2762
VOLVb.ST,35792746510.2916
VOLVb.ST,25734287565.2662
VOLVb.ST,33186309836.2986
VOLVb.ST,39335665982.3885
VOLVb.ST,48167487583.9148
VOLVb.ST,51571233477.9451
VOLVb.ST,49284535927.0597
VOLVb.ST,45839623988.0207
VOLVb.ST,47419681284.0351
VOLVb.ST,38445997444.1569
VOLVb.ST,31786783909.0352
VOLVb.ST,29318491261.0446
VOLVb.ST,37236095250.6601
VOLVb.ST,42301574504.8381
VOLVb.ST,42345215626.3314
VOLVb.ST,42084284935.5202
VOLVb.ST,53095543555.9551
VOLVb.ST,55455882160.7186
VOLVb.ST,52239593039.7403
VOLVb.ST,53816571359.5525
